Parental Divore on Romantic Relationship					
	(0.016)	(0.038)	(0.075)	(0.067)	(0.119)
w1p3064	-0.005	-0.008	0.026	-0.010	-0.004
	(0.007)	(0.021)	(0.044)	(0.037)	(0.063)
w1p3065	0.002	0.097†	0.071	-0.016	0.476**
	(0.020)	(0.051)	(0.104)	(0.089)	(0.180)
w1p3066	0.029†	-0.013	0.088	0.053	-0.101
	(0.015)	(0.034)	(0.071)	(0.062)	(0.104)
Constant	0.041	0.263*	2.794***	1.737***	2.305***
	(0.038)	(0.106)	(0.222)	(0.176)	(0.302)
					
Observations	2,381	2,381	2,377	2,377	2,372
R-squared	0.045	0.039	0.029	0.026	0.058
Robust standard errors in parentheses					
*** p<0.001, ** p<0.01, * p<0.05, † p<0.1					
