Parental Divore on Nagative Symptom					
w1s206	0.008	0.006	-0.016	0.005	0.005
	(0.018)	(0.020)	(0.025)	(0.023)	(0.008)
w1p3062	0.062*	0.030	-0.021	-0.003	0.001
	(0.026)	(0.027)	(0.034)	(0.031)	(0.012)
w1p3063	-0.019	-0.071	-0.072	-0.007	-0.001
	(0.045)	(0.047)	(0.056)	(0.059)	(0.020)
w1p3064	0.005	0.013	-0.024	0.028	0.012
	(0.025)	(0.027)	(0.034)	(0.031)	(0.012)
w1p3065	0.054	0.009	-0.012	0.107	-0.050***
	(0.063)	(0.062)	(0.083)	(0.080)	(0.014)
w1p3066	0.069	0.043	0.094†	0.096†	0.022
	(0.045)	(0.045)	(0.056)	(0.053)	(0.024)
Constant	1.187***	1.298***	1.625***	1.702***	1.026***
	(0.118)	(0.126)	(0.160)	(0.147)	(0.049)
					
Observations	2,381	2,381	2,381	2,381	2,381
R-squared	0.044	0.041	0.036	0.036	0.022
Robust standard errors in parentheses					
*** p<0.001, ** p<0.01, * p<0.05, † p<0.1					
